,question,answer,domain
0,What is (are) above ground level?,"In aviation, atmospheric sciences and broadcasting, a height above ground level (AGL) is a height measured with respect to the underlying ground surface. This is as opposed to altitude/elevation above mean sea level (AMSL), or (in broadcast engineering) height above average terrain (HAAT). In other words, these expressions (AGL, AMSL, HAAT) indicate where the ""zero level"" or ""reference altitude"" is located.",engineering
1,What is (are) absolute humidity?,describes the water content of air and is expressed in either grams per cubic meter or grams per kilogram.,engineering
2,What is (are) absolute value?,"In mathematics, the absolute value or modulus |x| of a real number x is the non-negative value of x without regard to its sign. Namely, |x| = x for a positive x, |x| = −x for a negative x (in which case −x is positive), and |0| = 0. For example, the absolute value of 3 is 3, and the absolute value of −3 is also 3. The absolute value of a number may be thought of as its distance from zero.",engineering
3,What is (are) acceleration?,"In physics, acceleration is the rate of change of velocity of an object with respect to time. An object's acceleration is the net result of any and all forces acting on the object, as described by Newton's Second Law. The SI unit for acceleration is metre per second squared (m s−2). Accelerations are vector quantities (they have magnitude and direction) and add according to the parallelogram law. As a vector, the calculated net force is equal to the product of the object's mass (a scalar quantity) and its acceleration.",engineering
4,What is (are) acquisition of signal?,"A pass, in spaceflight and satellite communications, is the period in which a satellite or other spacecraft is above the local horizon and available for radio communication with a particular ground station, satellite receiver, or relay satellite (or, in some cases, for visual sighting). The beginning of a pass is termed acquisition of signal; the end of a pass is termed loss of signal. The point at which a spacecraft comes closest to a ground observer is the time of closest approach.",engineering
5,What is (are) action?,"In physics, action is an attribute of the dynamics of a physical system from which the equations of motion of the system can be derived. It is a mathematical functional which takes the trajectory, also called path or history, of the system as its argument and has a real number as its result. Generally, the action takes different values for different paths. Action has the dimensions of ⋅ or ⋅, and its SI unit is joule-second.",engineering
6,What is (are) advanced space vision system?,"The Advanced Space Vision System (also known as the Space Vision System or by its acronym SVS) is a computer vision system designed primarily for International Space Station (ISS) assembly. The system uses regular 2D cameras in the Space Shuttle bay, on the Canadarm, or on the ISS along with cooperative targets to calculate the 3D position of an object.",engineering
7,What is (are) aeroacoustics?,is a branch of acoustics that studies noise generation via either turbulent fluid motion or aerodynamic forces interacting with surfaces. Noise generation can also be associated with periodically varying flows. A notable example of this phenomenon is the Aeolian tones produced by wind blowing over fixed objects.,engineering
8,What is (are) aerobraking?,"is a spaceflight maneuver that reduces the high point of an elliptical orbit (apoapsis) by flying the vehicle through the atmosphere at the low point of the orbit (periapsis). The resulting drag slows the spacecraft. Aerobraking is used when a spacecraft requires a low orbit after arriving at a body with an atmosphere, and it requires less fuel than does the direct use of a rocket engine.",engineering
9,What is (are) aerocapture?,is an orbital transfer maneuver used to reduce the velocity of a spacecraft from a hyperbolic trajectory to an elliptical orbit around the targeted celestial body.,engineering
